Stations_id;von_datum;bis_datum;Stationshoehe;geoBreite;geoLaenge;Stationsname;Bundesland;lat;lon
2323;20060701;20240126;110;518.529;94.953;Bevern,;Niedersachsen;51.8529;9.4953
2338;20020101;20051223;39;523.333;75.500;Hopsten;Nordrhein-Westfalen;52.3333;7.55
2362;20040801;20240126;328;505.651;74.843;Hümmerich;Rheinland-Pfalz;50.5651;7.4843
2374;19490101;19740701;3;544.752;90.564;Husum;Schleswig-Holstein;54.4752;9.0564
2385;20020101;20240126;376;496.927;73.263;Idar-Oberstein;Rheinland-Pfalz;49.6927;7.3263
2410;19610102;20240126;364;487.111;115.363;Ingolstadt-Manching;Bayern;48.7111;11.5363
2423;20040301;20050702;712;476.894;100.416;Isny;Baden-Württemberg;47.6894;10.0416
2429;20020101;20240126;20;539.897;95.697;Itzehoe;Schleswig-Holstein;53.9897;9.5697
2437;20020101;20240126;21;544.570;95.203;Schleswig-Jagel;Schleswig-Holstein;54.457;9.5203
2444;19910801;20240126;155;509.251;115.830;Jena;Thüringen;50.9251;11.583
2456;20011017;20050826;7;535.322;78.806;Jever;Niedersachsen;53.5322;7.8806
2477;19710101;19760101;728;475.938;79.597;Jungholz;Baden-Württemberg;47.5938;7.9597
2480;20040901;20240126;108;500.643;89.930;Kahl/Main;Bayern;50.0643;8.993
2483;19510101;20240126;839;511.803;84.891;Kahler;Nordrhein-Westfalen;51.1803;8.4891
2485;20110502;20240126;489;489.170;96.871;Kaisersbach-Cronhütte;Baden-Württemberg;48.917;9.6871
2486;20050301;20240126;271;494.262;77.557;Kaiserslautern;Rheinland-Pfalz;49.4262;7.7557
2488;19820101;20021001;516;487.701;107.876;Kaisheim-Neuhof;Bayern;48.7701;10.7876
2494;20020101;20131020;31;517.329;62.688;Kalkar;Nordrhein-Westfalen;51.7329;6.2688
2497;20040801;20240126;505;505.014;65.264;Kall-Sistig;Nordrhein-Westfalen;50.5014;6.5264
2503;19510101;20030505;487;506.266;101.455;Kaltennordheim;Thüringen;50.6266;10.1455
2521;19820101;19940401;374;486.765;112.961;Karlshuld;Bayern;48.6765;11.2961
2522;19480101;20081031;112;490.382;83.641;Karlsruhe;Baden-Württemberg;49.0382;8.3641
2532;19480101;20131031;231;512.963;94.424;Kassel;Hessen;51.2963;9.4424
2542;19750601;20160402;716;478.652;106.007;Kaufbeuren;Bayern;47.8652;10.6007
2559;19550101;20240126;705;477.233;103.348;Kempten;Bayern;47.7233;10.3348
